id,countryCode,title,category,year,cluster
at-12198,AT,Federal law consolidated: entire legal regulation for the climate protection law,Law,2011,1
at-10564,AT,The Austrian Strategy for Adaptation to Climate Change,Policy,2017,0
at-10659,AT,Integrated National Energy and Climate Plan for Austria,Policy,2019,6
at-12222,AT,Tax Reform Act 2020,Law,2020,7
at-12326,AT,Ecosocial Tax Reform Act 2022 Part I,Law,2022,7
be-12192,BE,Law relating to the coordination of the federal sustainable development policy,Law,1997,5
be-12293,BE,Law relating to the organization of the electricity market,Law,1999,7
be-12301,BE,The Federal Sustainable Development Plan,Law,2000,5
be-10533,BE,The Co-operation Agreement on the National Climate Plan and the National Climate Plan,Law,2002,1
be-act-relating-to-minimum-nominal-nominal-,BE,Act relating to minimum nominal nominal volumes of sustainable biofuels which must be incorporated into the volumes of fossil fuels put annually to consumption,Law,2013,4
be-law-modifying-the-law-of-july-17-2013-re,BE,"Law modifying the law of July 17, 2013 relating to minimum nominal volumes of sustainable biofuels which must be incorporated into the volumes of fossil fuels put annually to consumption",Law,2015,4
be-law-modifying-the-law-of-april-12-1965-r,BE,"Law modifying the law of April 12, 1965 relating to the transport of gas products and others by pipes and the law of April 29, 1999 relating to the organization of the electricity market, with a view to reducing the cost of the deployment of electronic communications networks High Speed",Law,2017,7
be-law-modifying-the-law-of-april-29-1999-r,BE,"Law modifying the law of April 29, 1999 relating to the organization of the electricity market in order to introduce a competition procedure for the construction and operation of production facilities in marine spaces under the jurisdiction of Belgium and ratifying the royal decree of February 11, 2019, modifying the royal decree of July 16, 2002 relating to the establishment of mechanisms aimed at promoting electricity produced from renewable energy sources",Law,2019,7
be-12445,BE,National Energy and Climate Plan: Part A - National Plan,Policy,2019,6
be-11658,BE,National Energy and Climate Plan: Part B - Analytical basis,Policy,2019,6
be-12348,BE,National energy -climate plan: Part A - National Plan,Policy,2019,6
be-12381,BE,National energy -climate plan: part B - Analytical base,Policy,2019,6
be-12470,BE,Law on the Mobility Budget,Law,2019,5
bg-10546,BG,Early-warning system in case of disasters (Ordinance 26/2009 of the Council of Ministers),Policy,2009,10
bg-energy-strategy-of-the-republic-of-bulga,BG,"Energy Strategy of the Republic of Bulgaria till 2020 for Reliable, Efficient and Cleaner Energy",Law,2011,2
bg-energy-strategy-of-the-republic-of-bulga,BG,"Energy Strategy of the Republic of Bulgaria until 2020 for reliable, efficient and cleaner Energy",Law,2011,2
bg-11600,BG,Forestry Act,Law,2012,0
bg-11603,BG,Energy Efficiency Act,Law,2013,3
bg-12869,BG,Energy from Renewable Sources Act,Law,2013,11
bg-10165,BG,Climate Change Law,Law,2015,8
bg-12871,BG,Energy Act,Law,2015,2
bg-12531,BG,Energy Efficiency Act,Law,2015,3
bg-12283,BG,Renewable Energy Act,Law,2015,11
bg-12802,BG,Energy Act,Law,2016,2
bg-11229,BG,Climate Change Mitigation Act,Law,2017,8
bg-10166,BG,Forest law,Law,2017,0
bg-10172,BG,Spatial Planning Act,Law,2017,10
bg-10296,BG,Integrated Energy and Climate Plan of the Republic of Bulgaria 2021 - 2030,Policy,2019,6
bg-10665,BG,Integrated Energy and Climate Plan of the Republic of Bulgaria 2021 - 2030.,Policy,2019,6
bg-10361,BG,National Climate Change Adaptation Strategy and Action Plan,Policy,2019,0
hr-11427,HR,Environmental Protection and Energy Efficiency Fund Act,Law,2003,9
hr-11292,HR,Forest Law,Law,2005,0
hr-11293,HR,Environmental Protection Act,Law,2007,8
hr-11306,HR,Decision to declare the Law on Transport Biofuels,Law,2009,7
hr-12413,HR,Law on Transport biofuels - consolidated text of the law,Law,2009,7
hr-11286,HR,Strategy for Sustainable Development of the Republic of Croatia,Policy,2009,8
hr-12770,HR,Air Protection Law,Law,2011,8
hr-10424,HR,Energy Act,Law,2012,9
hr-11304,HR,Law on the promotion of clean and energy efficient vehicles on roads,Law,2013,5
hr-regulation-on-the-adoption-of-the-plan-f,HR,"Regulation on the adoption of the Plan for the air protection, protection of the ozone layer and climate change mitigation in the Republic of Croatia for the period 2013-2017",Policy,2013,8
hr-10924,HR,Regulation on the internal organization of the Ministry of Environment and Nature,Policy,2014,8
hr-11309,HR,Law on Energy Efficiency,Law,2014,9
hr-11804,HR,Law on Renewable Energy Sources and Highly Effective Cogeneration,Law,2015,2
hr-11307,HR,Law on Renewable Energy Sources and Highly Efficient Cogeneration,Law,2015,9
hr-11296,HR,National Reform Programme 2016,Policy,2016,2
hr-11301,HR,Law on the establishment of infrastructure for alternative fuels,Law,2016,5
hr-integrated-national-energy-and-climate-p,HR,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,Policy,2019,6
