country,cluster,n_policies,law_share,adaptation_share,median_year,recent_share
AT,4,5,0.6,0.4,2019.0,0.8
BE,4,13,0.6923076923076923,0.3076923076923077,2017.0,0.6153846153846154
BG,1,17,0.7647058823529411,0.5294117647058824,2015.0,0.6470588235294118
CY,6,2,0.5,0.5,2016.5,0.5
CZ,4,11,0.2727272727272727,0.7272727272727273,2016.0,0.7272727272727273
DE,1,34,0.7941176470588235,0.058823529411764705,2015.5,0.5294117647058824
DK,2,11,0.7272727272727273,0.45454545454545453,2013.0,0.45454545454545453
EE,5,5,0.0,0.6,2017.0,0.6
ES,1,63,0.2222222222222222,0.3968253968253968,2015.0,0.5079365079365079
FI,3,15,0.8,0.4,2015.0,0.5333333333333333
FR,1,49,0.30612244897959184,0.32653061224489793,2019.0,0.8979591836734694
GR,1,23,0.7391304347826086,0.13043478260869565,2012.0,0.43478260869565216
HR,1,19,0.631578947368421,0.3157894736842105,2013.0,0.3684210526315789
HU,3,14,0.5714285714285714,0.42857142857142855,2011.0,0.35714285714285715
IE,1,27,0.6296296296296297,0.3333333333333333,2015.0,0.5185185185185185
IT,1,36,0.5833333333333334,0.08333333333333333,2008.5,0.2222222222222222
LT,5,6,0.0,0.8333333333333334,2016.0,0.5
LU,1,22,0.5909090909090909,0.36363636363636365,2016.0,0.7727272727272727
LV,5,6,0.0,0.3333333333333333,2016.5,0.5
MT,4,7,0.2857142857142857,0.5714285714285714,2014.0,0.42857142857142855
NL,1,26,0.46153846153846156,0.23076923076923078,2017.0,0.5769230769230769
PL,1,23,0.5652173913043478,0.17391304347826086,2017.0,0.6086956521739131
PT,1,31,0.16129032258064516,0.3548387096774194,2015.0,0.5806451612903226
RO,2,20,0.6,0.25,2013.0,0.25
SE,4,20,0.6,0.45,2015.0,0.5
SI,4,9,0.3333333333333333,0.5555555555555556,2010.0,0.3333333333333333
SK,2,21,0.47619047619047616,0.3333333333333333,2012.0,0.19047619047619047
