tech,year,capex_eur_t,basis,source,source_url
steel_bfbof,2025,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof,2030,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof,2035,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof,2040,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof,2045,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof,2050,400,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2025,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2030,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2035,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2040,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2045,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_bfbof_ccs,2050,770,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2025,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2030,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2035,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2040,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2045,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_ngdri_eaf,2050,500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2025,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2030,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2035,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2040,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2045,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_h2dri_eaf,2050,800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2025,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2030,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2035,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2040,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2045,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
steel_scrap_eaf,2050,350,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2025,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2030,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2035,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2040,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2045,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ref,2050,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2025,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2030,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2035,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2040,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2045,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_clinkersub,2050,160,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ccs,2025,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ccs,2030,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ccs,2035,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
