name,subsector,year,value
scrap_share_max,steel,2025,0.45
scrap_share_max,steel,2030,0.47
scrap_share_max,steel,2035,0.49
scrap_share_max,steel,2040,0.51
scrap_share_max,steel,2045,0.53
scrap_share_max,steel,2050,0.55
scrap_share_max,aluminium,2025,0.55
scrap_share_max,aluminium,2030,0.58
scrap_share_max,aluminium,2035,0.6
scrap_share_max,aluminium,2040,0.62
scrap_share_max,aluminium,2045,0.64
scrap_share_max,aluminium,2050,0.65
biomass_pj_max,all,2025,300
biomass_pj_max,all,2030,300
biomass_pj_max,all,2035,300
biomass_pj_max,all,2040,300
biomass_pj_max,all,2045,300
biomass_pj_max,all,2050,300
ccs_mt_max,all,2025,0
ccs_mt_max,all,2030,5
ccs_mt_max,all,2035,20
ccs_mt_max,all,2040,50
ccs_mt_max,all,2045,80
ccs_mt_max,all,2050,100
