subsector,year,demand_mt
steel,2025,124
steel,2030,122
steel,2035,120
steel,2040,118
steel,2045,116
steel,2050,114
cement,2025,178
cement,2030,175
cement,2035,172
cement,2040,168
cement,2045,164
cement,2050,160
hvc,2025,40
hvc,2030,41
hvc,2035,42
hvc,2040,43
hvc,2045,44
hvc,2050,45
ammonia,2025,16
ammonia,2030,16
ammonia,2035,15
ammonia,2040,15
ammonia,2045,14
ammonia,2050,14
aluminium,2025,6.5
aluminium,2030,6.8
aluminium,2035,7.1
aluminium,2040,7.4
aluminium,2045,7.7
aluminium,2050,8.0
glass,2025,35
glass,2030,35
glass,2035,34
glass,2040,34
glass,2045,33
glass,2050,33
paper,2025,74
paper,2030,72
paper,2035,70
paper,2040,68
paper,2045,66
paper,2050,64
