tech,carrier,gj_per_t,source,source_url
steel_bfbof,coal,7,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_bfbof,coke,11,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_bfbof,natural_gas,1,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_bfbof,electricity,2,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_bfbof_ccs,coal,7,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
steel_bfbof_ccs,coke,11,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
steel_bfbof_ccs,natural_gas,2.5,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
steel_bfbof_ccs,electricity,3,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
steel_ngdri_eaf,natural_gas,7,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_ngdri_eaf,electricity,1.5,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_h2dri_eaf,natural_gas,0.5,"European Parliament (EPRS) (2021), Carbon-free steel production - Cost reduction options and usage of existing gas infrastructure",https://www.europarl.europa.eu/RegData/etudes/STUD/2021/690008/EPRS_STU(2021)690008_EN.pdf
steel_h2dri_eaf,hydrogen,6.6,"European Parliament (EPRS) (2021), Carbon-free steel production - Cost reduction options and usage of existing gas infrastructure",https://www.europarl.europa.eu/RegData/etudes/STUD/2021/690008/EPRS_STU(2021)690008_EN.pdf
steel_h2dri_eaf,electricity,2.5,"European Parliament (EPRS) (2021), Carbon-free steel production - Cost reduction options and usage of existing gas infrastructure",https://www.europarl.europa.eu/RegData/etudes/STUD/2021/690008/EPRS_STU(2021)690008_EN.pdf
steel_scrap_eaf,natural_gas,0.5,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_scrap_eaf,electricity,1.7,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
cement_ref,coal,2.0,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_ref,natural_gas,0.3,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_ref,oil,0.2,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_ref,electricity,0.4,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_clinkersub,coal,1.6,"MDPI (Sustainability, peer-reviewed) (2026), Limestone Calcined Clay Cement (LC3): From Laboratory Innovation to Sustainable Industrial Application",https://www.mdpi.com/2071-1050/18/7/3473
cement_clinkersub,natural_gas,0.2,"MDPI (Sustainability, peer-reviewed) (2026), Limestone Calcined Clay Cement (LC3): From Laboratory Innovation to Sustainable Industrial Application",https://www.mdpi.com/2071-1050/18/7/3473
cement_clinkersub,electricity,0.45,"MDPI (Sustainability, peer-reviewed) (2026), Limestone Calcined Clay Cement (LC3): From Laboratory Innovation to Sustainable Industrial Application",https://www.mdpi.com/2071-1050/18/7/3473
cement_ccs,coal,2.0,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
