carrier,year,price_eur_gj
coal,2025,3.0
coal,2030,3.0
coal,2035,3.1
coal,2040,3.1
coal,2045,3.2
coal,2050,3.2
coke,2025,6.0
coke,2030,6.0
coke,2035,6.1
coke,2040,6.1
coke,2045,6.2
coke,2050,6.2
natural_gas,2025,10.0
natural_gas,2030,9.5
natural_gas,2035,9.0
natural_gas,2040,8.7
natural_gas,2045,8.5
natural_gas,2050,8.3
electricity,2025,24.0
electricity,2030,22.0
electricity,2035,21.0
electricity,2040,20.0
electricity,2045,19.0
electricity,2050,18.0
hydrogen,2025,40.0
hydrogen,2030,33.0
hydrogen,2035,28.0
hydrogen,2040,25.0
hydrogen,2045,22.0
hydrogen,2050,20.0
biomass,2025,8.0
biomass,2030,8.0
biomass,2035,8.2
biomass,2040,8.3
biomass,2045,8.4
biomass,2050,8.5
oil,2025,14.0
oil,2030,14.0
oil,2035,13.8
oil,2040,13.6
oil,2045,13.4
oil,2050,13.2
