subsector,tech,year,production_mt,capacity_mt,new_build_mt,direct_co2_mt,indirect_co2_mt,cost_meur
aluminium,alu_inert,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2030,-0.0,-0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2035,0.7867750000000004,0.7867750000000004,0.7867750000000004,0.022029700000000013,1.2273690000000008,1826.835164465328
aluminium,alu_inert,2040,1.5603500000000001,1.5603500000000001,0.7735749999999997,0.04368980000000001,1.4604876,3543.833112430537
aluminium,alu_inert,2045,2.3207249999999995,2.3207249999999995,0.7603749999999994,0.06498029999999999,1.2067769999999998,5151.495072645628
aluminium,alu_inert,2050,3.08,3.08,0.7592750000000006,0.08624,0.48048,6678.605266694046
aluminium,alu_ref,2025,3.2175,3.2175,0.0,4.684679999999999,10.666012499999999,8341.4730365395
aluminium,alu_ref,2030,3.1416000000000004,3.1416000000000004,0.7284750000000004,4.5741696,7.2099720000000005,7959.910914446775
aluminium,alu_ref,2035,2.337225,2.337225,0.0,3.4029996000000002,3.57595425,5937.6088893118995
aluminium,alu_ref,2040,1.5328500000000003,1.5328500000000003,0.0,2.2318296,1.4071563,3927.0887551770247
aluminium,alu_ref,2045,0.7284750000000004,0.7284750000000004,0.0,1.0606596000000006,0.3715222500000002,1855.5368535421494
aluminium,alu_ref,2050,0.0,0.7284750000000004,0.0,0.0,0.0,249.17663104214864
aluminium,alu_sec,2025,3.9325000000000006,3.9325000000000006,0.0,0.33033000000000007,0.651811875,3590.322801279188
aluminium,alu_sec,2030,4.3384,4.3384,1.3890249999999997,0.3644256,0.4978314,3946.457499537095
aluminium,alu_sec,2035,4.686,4.686,1.3307249999999997,0.39362400000000003,0.358479,4262.935558587227
aluminium,alu_sec,2040,5.0468,5.0468,1.3439250000000005,0.42393120000000006,0.23164811999999999,4597.217742816479
aluminium,alu_sec,2045,5.420800000000001,5.420800000000001,1.3571250000000008,0.45534720000000006,0.1382304,4933.835236224849
aluminium,alu_sec,2050,5.720000000000001,5.720000000000001,0.2991999999999999,0.4804800000000001,0.043758000000000005,5201.867310951546
ammonia,ammonia_h2,2025,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2030,0.0,-0.0,0.0,0.0,0.0,0.0
