country,climate_neutrality_year,climate_neutrality_reported,removals_2030_kt,removals_2030_necp_kt,removals_2040_kt,removals_2040_necp_kt,removals_2050_kt,removals_2050_necp_kt
AT,2040,True,,,,,,
BE,,False,,,,,,
BG,2050,True,-9718.0,,,,,
CY,2050,True,-352.0,,,,,
CZ,,False,,,,,,
DE,2045,True,-25000.0,,-35000.0,,-40000.0,
DK,2050,True,,-0.0,,-0.0,,-0.0
EE,2050,True,-678.335,-470.294,-559.403,-470.294,-470.294,-470.294
EL,2050,True,-7578.85,-9004.08,-8049.71,-9004.08,-9004.08,-9004.08
ES,2050,True,-46008.4,,,,,
FI,2035,True,,,,,,
FR,2050,True,-18000.0,,,,,
HR,,False,,,,,,
HU,2050,True,-5724.0,,,,,
IE,2050,True,,,,,,
IT,2050,True,-46985.0,,,,-87000.0,
LT,2050,True,,,,,,
LU,2050,True,-429.657,-659.799,-428.393,-659.799,-659.799,-659.799
LV,2050,True,-644.0,,,,,
MT,2050,True,,,,,,
NL,2050,True,,,,,,
PL,,False,,,,,,
PT,2050,True,,,,,,
RO,2045,True,-49054.4,-50543.9,-50111.1,-50543.9,-51006.5,-50543.9
SE,,False,,,,,,
SI,2050,True,,-2500.0,,-2500.0,-2500.0,-2500.0
SK,2050,True,-5800.22,-5769.61,-4671.18,-5769.61,-5769.61,-5769.61
