country,scope,year,unit,target,historic,wem,wam,gap_wem_kt,gap_wam_kt,gap_wem_rel_reported,gap_wam_rel_reported
AT,excl_lulucf,2022,kt CO2e,,73515.2,,,,,,
AT,excl_lulucf,2023,kt CO2e,,68695.9,,,,,,
AT,excl_lulucf,2030,kt CO2e,29636.0,,60688.4,55451.5,31052.4,25815.5,-1.04779,-0.871085
AT,excl_lulucf,2040,kt CO2e,,,49654.9,37037.2,,,,
AT,excl_lulucf,2050,kt CO2e,,,41550.8,25094.3,,,,
AT,incl_lulucf,2022,kt CO2e,,73308.7,,,,,,
AT,incl_lulucf,2023,kt CO2e,,76225.9,,,,,,
AT,incl_lulucf,2030,kt CO2e,,,56684.4,51447.4,,,,
AT,incl_lulucf,2040,kt CO2e,,,46802.9,34185.2,,,,
AT,incl_lulucf,2050,kt CO2e,,,40377.3,23920.9,,,,
AT,incl_lulucf_aviation,2022,kt CO2e,,75290.4,,,,,,
AT,incl_lulucf_aviation,2023,kt CO2e,,78879.4,,,,,,
AT,incl_lulucf_aviation,2030,kt CO2e,,,59611.5,54374.6,,,,
AT,incl_lulucf_aviation,2040,kt CO2e,,,48875.3,36257.6,,,,
AT,incl_lulucf_aviation,2050,kt CO2e,,,41332.1,24875.6,,,,
BE,excl_lulucf,2022,kt CO2e,,102977.0,,,,,,
BE,excl_lulucf,2023,kt CO2e,,98221.2,,,,,,
BE,excl_lulucf,2030,kt CO2e,,,106581.0,83301.9,,,,
BE,excl_lulucf,2040,kt CO2e,,,105015.0,72355.0,,,,
BE,excl_lulucf,2050,kt CO2e,,,103458.0,40556.4,,,,
BE,incl_lulucf,2022,kt CO2e,,102460.0,,,,,,
BE,incl_lulucf,2023,kt CO2e,,97915.2,,,,,,
BE,incl_lulucf,2030,kt CO2e,,,105475.0,82031.7,,,,
BE,incl_lulucf,2040,kt CO2e,,,103888.0,71034.0,,,,
BE,incl_lulucf,2050,kt CO2e,,,102331.0,39273.5,,,,
BE,incl_lulucf_aviation,2022,kt CO2e,,107756.0,,,,,,
BE,incl_lulucf_aviation,2023,kt CO2e,,103224.0,,,,,,
BE,incl_lulucf_aviation,2030,kt CO2e,,,110438.0,86994.3,,,,
BE,incl_lulucf_aviation,2040,kt CO2e,,,108883.0,76028.5,,,,
BE,incl_lulucf_aviation,2050,kt CO2e,,,107339.0,44276.6,,,,
BG,excl_lulucf,2022,kt CO2e,,58396.2,,,,,,
BG,excl_lulucf,2023,kt CO2e,,45364.9,,,,,,
BG,excl_lulucf,2030,kt CO2e,,,26984.7,26984.7,,,,
BG,excl_lulucf,2040,kt CO2e,,,15661.2,15661.2,,,,
BG,excl_lulucf,2050,kt CO2e,,,8172.19,8172.19,,,,
BG,incl_lulucf,2022,kt CO2e,,49242.2,,,,,,
BG,incl_lulucf,2023,kt CO2e,,36763.9,,,,,,
BG,incl_lulucf,2030,kt CO2e,,,17468.8,17468.8,,,,
BG,incl_lulucf,2040,kt CO2e,,,6273.62,6273.62,,,,
BG,incl_lulucf,2050,kt CO2e,,,-1058.63,-1058.63,,,,
BG,incl_lulucf_aviation,2022,kt CO2e,,49838.5,,,,,,
BG,incl_lulucf_aviation,2023,kt CO2e,,37428.6,,,,,,
BG,incl_lulucf_aviation,2030,kt CO2e,,,17864.2,17864.2,,,,
BG,incl_lulucf_aviation,2040,kt CO2e,,,6503.09,6503.09,,,,
BG,incl_lulucf_aviation,2050,kt CO2e,,,-938.889,-938.889,,,,
CY,excl_lulucf,2022,kt CO2e,,8336.76,,,,,,
CY,excl_lulucf,2023,kt CO2e,,8496.85,,,,,,
CY,excl_lulucf,2030,kt CO2e,3161.0,,6987.59,5832.89,3826.59,2671.8900000000003,-1.21056,-0.845268
CY,excl_lulucf,2040,kt CO2e,,,5221.35,3749.63,,,,
CY,excl_lulucf,2050,kt CO2e,,,4903.06,3474.95,,,,
CY,incl_lulucf,2022,kt CO2e,,8037.37,,,,,,
CY,incl_lulucf,2023,kt CO2e,,8186.27,,,,,,
CY,incl_lulucf,2030,kt CO2e,2809.0,,6662.59,5480.89,3853.59,2671.8900000000003,-1.37187,-0.95119
CY,incl_lulucf,2040,kt CO2e,,,4864.33,3331.87,,,,
CY,incl_lulucf,2050,kt CO2e,,,4517.24,2991.43,,,,
CY,incl_lulucf_aviation,2022,kt CO2e,,8832.92,,,,,,
CY,incl_lulucf_aviation,2023,kt CO2e,,9146.81,,,,,,
CY,incl_lulucf_aviation,2030,kt CO2e,3800.0,,7605.05,6420.87,3805.05,2620.87,-1.00133,-0.689703
CY,incl_lulucf_aviation,2040,kt CO2e,,,5929.56,4248.31,,,,
CY,incl_lulucf_aviation,2050,kt CO2e,,,5709.26,3395.32,,,,
CZ,excl_lulucf,2022,kt CO2e,,114519.0,,,,,,
CZ,excl_lulucf,2023,kt CO2e,,102056.0,,,,,,
CZ,excl_lulucf,2030,kt CO2e,103962.0,,65538.3,59800.3,-38423.7,-44161.7,0.369593,0.424787
CZ,excl_lulucf,2040,kt CO2e,70000.0,,51110.5,31255.2,-18889.5,-38744.8,0.26985,0.553498
CZ,excl_lulucf,2050,kt CO2e,39000.0,,43668.2,19154.5,4668.199999999997,-19845.5,-0.119698,0.508858
CZ,incl_lulucf,2022,kt CO2e,,115966.0,,,,,,
CZ,incl_lulucf,2023,kt CO2e,,98487.4,,,,,,
CZ,incl_lulucf,2030,kt CO2e,,,59796.9,54058.8,,,,
CZ,incl_lulucf,2040,kt CO2e,,,44043.3,24188.0,,,,
CZ,incl_lulucf,2050,kt CO2e,,,36997.8,12484.1,,,,
CZ,incl_lulucf_aviation,2022,kt CO2e,,116779.0,,,,,,
CZ,incl_lulucf_aviation,2023,kt CO2e,,99534.6,,,,,,
CZ,incl_lulucf_aviation,2030,kt CO2e,,,60609.3,54871.2,,,,
CZ,incl_lulucf_aviation,2040,kt CO2e,,,44855.7,25000.4,,,,
CZ,incl_lulucf_aviation,2050,kt CO2e,,,37810.1,13296.4,,,,
DE,excl_lulucf,2022,kt CO2e,,748793.0,,,,,,
DE,excl_lulucf,2023,kt CO2e,,672020.0,,,,,,
DE,excl_lulucf,2030,kt CO2e,441000.0,,463395.0,466695.0,22395.0,25695.0,-0.0507814,-0.0582644
DE,excl_lulucf,2040,kt CO2e,150000.0,,252618.0,235182.0,102618.0,85182.0,-0.684118,-0.567881
DE,excl_lulucf,2050,kt CO2e,,,189836.0,164094.0,,,,
DE,incl_lulucf,2022,kt CO2e,,824396.0,,,,,,
DE,incl_lulucf,2023,kt CO2e,,740673.0,,,,,,
DE,incl_lulucf,2030,kt CO2e,,,495708.0,498634.0,,,,
DE,incl_lulucf,2040,kt CO2e,,,288441.0,267572.0,,,,
DE,incl_lulucf,2050,kt CO2e,,,230872.0,197971.0,,,,
DE,incl_lulucf_aviation,2022,kt CO2e,,851814.0,,,,,,
DE,incl_lulucf_aviation,2023,kt CO2e,,769302.0,,,,,,
DE,incl_lulucf_aviation,2030,kt CO2e,,,522634.0,525333.0,,,,
DE,incl_lulucf_aviation,2040,kt CO2e,,,309505.0,288636.0,,,,
DE,incl_lulucf_aviation,2050,kt CO2e,,,249333.0,216432.0,,,,
DK,excl_lulucf,2022,kt CO2e,,42494.3,,,,,,
DK,excl_lulucf,2023,kt CO2e,,39009.7,,,,,,
DK,excl_lulucf,2030,kt CO2e,,,21869.3,21869.3,,,,
DK,excl_lulucf,2040,kt CO2e,,,14832.9,14832.9,,,,
DK,excl_lulucf,2050,kt CO2e,,,13355.8,13355.8,,,,
DK,incl_lulucf,2022,kt CO2e,,42076.0,,,,,,
DK,incl_lulucf,2023,kt CO2e,,38509.3,,,,,,
DK,incl_lulucf,2030,kt CO2e,23709.0,,22191.4,22191.4,-1517.5999999999985,-1517.5999999999985,0.0640087,0.0640087
DK,incl_lulucf,2040,kt CO2e,,,12842.6,12842.6,,,,
DK,incl_lulucf,2050,kt CO2e,0.0,,9724.76,9724.76,9724.76,9724.76,,
DK,incl_lulucf_aviation,2022,kt CO2e,,44264.2,,,,,,
DK,incl_lulucf_aviation,2023,kt CO2e,,41018.7,,,,,,
DK,incl_lulucf_aviation,2030,kt CO2e,,,24777.9,24777.9,,,,
DK,incl_lulucf_aviation,2040,kt CO2e,,,14584.8,14584.8,,,,
DK,incl_lulucf_aviation,2050,kt CO2e,,,10453.4,10453.4,,,,
EE,excl_lulucf,2022,kt CO2e,,14149.1,,,,,,
EE,excl_lulucf,2023,kt CO2e,,10862.5,,,,,,
EE,excl_lulucf,2030,kt CO2e,,,9337.25,9337.25,,,,
EE,excl_lulucf,2040,kt CO2e,,,7000.3,7000.3,,,,
