country,year,unit,historic,wem,wam,necp_commitment
AT,2022,kt CO2e,-206.472,,,
AT,2023,kt CO2e,7529.99,7529.99,7529.99,
AT,2030,kt CO2e,,-4004.08,-4004.08,
AT,2035,kt CO2e,,-4577.71,-4577.71,
AT,2040,kt CO2e,,-2852.0,-2852.0,
BE,2022,kt CO2e,-516.392,,,
BE,2023,kt CO2e,-306.065,-525.839,-600.692,
BE,2030,kt CO2e,,-1105.64,-1270.16,-1.0
BE,2035,kt CO2e,,-1116.56,-1293.99,
BE,2040,kt CO2e,,-1127.04,-1321.04,
BG,2022,kt CO2e,-9153.93,,,
BG,2023,kt CO2e,-8601.07,-8601.07,-8601.07,
BG,2030,kt CO2e,,-9515.88,-9515.88,
BG,2035,kt CO2e,,-9455.33,-9455.33,9718.0
BG,2040,kt CO2e,,-9387.56,-9387.56,
CY,2022,kt CO2e,-299.39,,,-299.39
CY,2023,kt CO2e,-310.577,-300.0,-300.0,-300.0
CY,2030,kt CO2e,,-325.0,-352.0,-322.9
CY,2035,kt CO2e,,-341.006,-384.881,-352.0
CY,2040,kt CO2e,,-357.013,-417.763,-417.76
CZ,2022,kt CO2e,1447.11,,,
CZ,2023,kt CO2e,-3568.42,686.499,686.499,
CZ,2030,kt CO2e,,-5741.46,-5741.46,
CZ,2035,kt CO2e,,-6741.9,-6741.9,-1228.0
CZ,2040,kt CO2e,,-7067.15,-7067.15,
DE,2022,kt CO2e,75603.5,,,75603.0
DE,2023,kt CO2e,68652.8,68652.8,68652.8,68653.0
DE,2030,kt CO2e,,32313.0,31939.7,40000.0
DE,2035,kt CO2e,,35989.9,33809.8,32000.0
DE,2040,kt CO2e,,35823.2,32389.6,36000.0
DK,2022,kt CO2e,-418.285,,,6200.0
DK,2023,kt CO2e,-500.449,-500.451,-500.451,6200.0
DK,2030,kt CO2e,,322.13,322.13,920.0
DK,2035,kt CO2e,,-1308.4,-1308.4,
DK,2040,kt CO2e,,-1990.25,-1990.25,
EE,2022,kt CO2e,198.204,,,198.204
EE,2023,kt CO2e,2130.79,3704.75,3704.75,2130.79
EE,2030,kt CO2e,,2230.59,2230.59,2230.59
EE,2035,kt CO2e,,2180.77,2180.77,2180.77
EE,2040,kt CO2e,,2304.57,2304.57,2304.57
