country,target_name,sector,unit,gwp,year,target,current,wem,wam,target_numeric,has_any_numeric_target,description
FI,Promoting the use of renewable fuels in the transport sector,Transport,%,AR 5,2022,12,,,,12.0,True,"The annual minimum share of renewable fuels in road transport delivered for consumption shall increase gradually to 34% by 2030. The Government Programme of 16 June 2023, however, sets a lower target for renewable fuels in transport for years 2024–2027 in separate bills. The same bills will also enable including renewable electricity delivered at public charging stations and an adjustment of the required shares of advanced biofuels and new minimum shares for renewable fuels of non-biological origin."
FI,Promoting the use of renewable fuels in the transport sector,Transport,%,AR 5,2023,13.5,,,,13.5,True,"The annual minimum share of renewable fuels in road transport delivered for consumption shall increase gradually to 34% by 2030. The Government Programme of 16 June 2023, however, sets a lower target for renewable fuels in transport for years 2024–2027 in separate bills. The same bills will also enable including renewable electricity delivered at public charging stations and an adjustment of the required shares of advanced biofuels and new minimum shares for renewable fuels of non-biological origin."
FI,Promoting the use of renewable fuels in the transport sector,Transport,%,AR 5,2030,34,,34,,34.0,True,"The annual minimum share of renewable fuels in road transport delivered for consumption shall increase gradually to 34% by 2030. The Government Programme of 16 June 2023, however, sets a lower target for renewable fuels in transport for years 2024–2027 in separate bills. The same bills will also enable including renewable electricity delivered at public charging stations and an adjustment of the required shares of advanced biofuels and new minimum shares for renewable fuels of non-biological origin."
FI,Promoting the use of renewable fuels in the transport sector,Transport,%,AR 5,2035,34,,34,,34.0,True,"The annual minimum share of renewable fuels in road transport delivered for consumption shall increase gradually to 34% by 2030. The Government Programme of 16 June 2023, however, sets a lower target for renewable fuels in transport for years 2024–2027 in separate bills. The same bills will also enable including renewable electricity delivered at public charging stations and an adjustment of the required shares of advanced biofuels and new minimum shares for renewable fuels of non-biological origin."
FI,Promoting the use of renewable fuels in the transport sector,Transport,%,AR 5,2040,34,,34,,34.0,True,"The annual minimum share of renewable fuels in road transport delivered for consumption shall increase gradually to 34% by 2030. The Government Programme of 16 June 2023, however, sets a lower target for renewable fuels in transport for years 2024–2027 in separate bills. The same bills will also enable including renewable electricity delivered at public charging stations and an adjustment of the required shares of advanced biofuels and new minimum shares for renewable fuels of non-biological origin."
FI,Phasing out coal in energy production,Energy sector,TWh (of energy use),AR 5,2022,NA,,,,,True,Legislation prohibits use of coal in energy production from 1 May 2029. The act takes into account aspects related to the security of energy supply and emergencies. Investment aid for projects that rapidly phase out the use of coal energy.
FI,Phasing out coal in energy production,Energy sector,TWh (of energy use),AR 5,2023,NA,,,,,True,Legislation prohibits use of coal in energy production from 1 May 2029. The act takes into account aspects related to the security of energy supply and emergencies. Investment aid for projects that rapidly phase out the use of coal energy.
FI,Phasing out coal in energy production,Energy sector,TWh (of energy use),AR 5,2030,0,,0,,0.0,True,Legislation prohibits use of coal in energy production from 1 May 2029. The act takes into account aspects related to the security of energy supply and emergencies. Investment aid for projects that rapidly phase out the use of coal energy.
FI,Phasing out coal in energy production,Energy sector,TWh (of energy use),AR 5,2035,0,,0,,0.0,True,Legislation prohibits use of coal in energy production from 1 May 2029. The act takes into account aspects related to the security of energy supply and emergencies. Investment aid for projects that rapidly phase out the use of coal energy.
FI,Phasing out coal in energy production,Energy sector,TWh (of energy use),AR 5,2040,0,,0,,0.0,True,Legislation prohibits use of coal in energy production from 1 May 2029. The act takes into account aspects related to the security of energy supply and emergencies. Investment aid for projects that rapidly phase out the use of coal energy.
